"","カいカ","カカ","カ蔼动カ","2011","2012","2013","2014","2015","2016","2017","2018","2019","る1","る10","る11","る12","る2","る3","る4","る5","る6","る7","る8","る9","キА放","程蔼放","程放","獴ら计","程10だ牧硉","程10だ牧..","程俐丁硉","程俐丁..","キА癸楞","程癸楞","キА代溃","羆ら酚计","獴秖"
"278",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.6,29.2,10.1,4,5.9,340,12.4,10,70,25,1019.6,164.6,0
"279",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.6,29.7,12.8,11,5.8,350,11.8,340,74,39,1016.4,159.1,100
"280",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.9,33,21.8,8,7.2,170,18.4,260,77,57,1011.8,222.1,200
"281",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.9,33.6,24.8,7,6.9,170,11,180,76,58,1009.9,246.5,100
"282",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.7,34.8,24.6,13,7.7,190,13.4,190,79,62,1008.8,255.8,400
"283",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.2,35.1,25.4,10,15.8,320,34.3,340,77,57,1007.1,252.2,300
"284",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.4,34.2,24.8,16,7.8,160,16.6,170,79,56,1003.8,206.6,400
"285",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.4,33.9,23.4,15,17.2,160,39.1,100,81,62,1006.1,172.2,1100
"286",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.4,33,24,13,8.7,160,18.6,140,79,59,1010,185.4,300
"287",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.7,31.9,19.7,3,5.4,30,14.4,30,72,56,1015.1,163.3,100
"288",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.9,30,16.2,2,5.4,320,9.6,350,71,47,1017.1,180.4,0
"289",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.7,28.5,14.7,0,5.1,320,9.8,300,70,45,1018.1,205.1,0
"290",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.1,29.8,13.8,0,6.2,350,11.8,20,67,41,1018.5,166.1,0
"291",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.5,33,17.5,3,6.9,320,12.2,350,69,46,1015.3,200.5,0
"292",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.6,32.7,16.6,6,7,360,16.2,350,71,41,1012.7,209.1,100
